"title","review","rating","date"
"It's really Percy Jackson","It left me totally surprised, fans can't ask for a better adaptation than this one because it doesn't exist. The characters are very well established and adapted. Glover is no longer a comic character to make you laugh, he is perfectly adapted to the books, like Percy, for now Annabeth does not have a good development, I am waiting and I feel that I will not be disappointed. You can really see the effort of the author of the book, and the effort that was put into this series. For the first time in a long time I can be sure that it will not disappoint me. Walker Scobell is a great actor. This is Percy Jackson.","10","20 December 2023"
"So much potential wasted","This wasn't i. Percy Jackson on Disney Plus falls short in several key areas. Primarily, the CGI elements lack the necessary finesse and realism expected in a modern production, resulting in a diminished visual experience. While the acting performances are competent, they fail to captivate or bring depth to the characters as seen in the original source material. Moreover, the noticeable departure from the intricacies of the original story might disillusion long-time fans, as it deviates significantly from the beloved narrative framework. Overall, this adaptation struggles due to its deficient CGI, average acting, and departure from the essence of the source material.","5","22 December 2023"
"different characters","All the characters bothered me, very different from the books, Percy Jackson isn't funny or funny like in the book, Luke is terrible and doesn't resemble Luke in the book at all, Annabeth I don't even need to comment, the actors do what they can but the casting chosen it doesn't appear to be that of the characters in the books, they should learn how to do casting with Netflix's One Piece, they spent money for nothing, they disappointed many fans, I spent my money on the books, I have the right to criticize what was done by Disney, I repeat, you should watch One piece and take a class on how to do it.","1","28 December 2023"
"Pretty Danged good.","I loved the books and absolutely abhorred the first movie versions.i understand that movies and books are different story-telling media, and that things have to be cut or done differently, but the way they fumbled the ball on those attempts was awful.  However, if the first two episodes of the new series are any indication, then I think we're all in for a treat. Is it perfect? No. The acting is mostly okay, and the set design for Camp Half-Blood is fantastic. The effects are great, and Walter Scobell makes a great Percy, especially as Logan Lerman was way too old.  If I have one real complaint, it's that the music is overwrought. There's too much of it, it's too loud, and it often doesn't really go well with what's happening on screen. The best bits were when the music is absent.  Oh, and Percy flossing? Hilarious.","9","22 December 2023"
"A wonderful start to the series","After watching the first 2 episodes I have full confidence in the future of this series. The accuracy to the books is super close though straying away just a little bit for format purposes. I believe that this show will be huge, with its exciting adventurous plot that will be amazing to see on the screen. As a fan for many years I can see the love and care that was put into this show. The world they created in the first episode was great but I think the second episode was by far the best with its amazing fight scenes and iconic camp half-blood moments. All the young actors did a beautiful job portraying these characters, especially Walker and Leah as Percy and Annabeth!","10","20 December 2023"
"Childhood nostalgia","Where to begin. The opening lines of the show are right out of the book. It's phenomenal. It's book accurate. It's amazing. The child actors are amazing and I can't wait to see them continue to grow as the seasons progress.  Of course there have been some changes to the material. But they work and make sense. It's still infinitely more accurate than the movies ever even tried to be.  The main trio truly embody their characters, even if they don't look 100% like the books described them nearly twenty years ago. The material has been appropriately updated and the characters are all well chosen for their talent. The banter between them is delightful and adorable, particularly because they're actual children like they're supposed to be.  I can't wait to see what this show can do with a hopefully larger budget in the future. Disney+ seems like it's doing this right. Actual children who we'll get to see grow through the years. Hey, worked out pretty well when Harry Potter did that.  I recommend checking it out. If it leans a bit too kiddish for you, then circle back in a season or two when the story is slightly darker and try again.  I grew up on these books and so I'm enjoying this show immensely.","10","29 December 2023"
"Not That Good","Honestly, the first two episodes left me disappointed. The changes in dialogue and actions completely change the relationships that were in the book. Grover being awake when Sally turns to dust, Chiron showing him around camp instead of Annebeth, Clarisse losing to him in a fight in the first day without the help of water, and Annebeth just being a stalker. It all changes how we view the characters. Instead of Annebeth being a smart and curious daughter of Athena, she is now a weird stalker that we only know the name of and is just there. In none of the scenes does it show Annebeth as smart. She doesn't even tell the capture the flag plan to Percy afterwards. The changes also put much more emphasis on the adults instead of the kids trying to find out things and doing things because the adults don't say anything. Chiron is no longer relatable or understanding, he is uptight, administrative, and to serious. Not that he isn't interesting or well acted, he just gives off a different vibe from the book. Also, for some reason they made Percy obsest with obtaining ""glory"" in order to get his dad to recognize him. It sort of makes him seem like he's on the way to being a villain instead of the quipy and sarcastic young boy. Also, the majority of lines are questions to advance to plot. Finally, the changes in locations in certain things like the fight with the fury introduces some plot wholes unless they decided to change the use of the mist completely. The show itself looks good cinematically and is honestly fairly good if I were to not compare it to the Books, but I am, so here we are.","5","25 December 2023"
"Very faithful and enjoyable","So far as a person who loved the books growing up this is all I can ask for. An incredibly well done show that keeps the spirit of the books in mind. You can definitely tell the author had his hands in the show. A lot of love and care went into making sure the source material was respected. I put 10 here because I know people are going to bomb it for simply changing the skin of fictional characters which is an abhorrent and disgusting reason to fault a show so I put an especially high score to help keep the score at the place it deserves to be. Very enjoyable so far. Hopefully more seasons are on the way.","10","20 December 2023"
"Good casting, but why such hurry?!","I LOVE this book series and was really excited for the show. And the casting is actually well done. BUT. Why are they rushing through everything? There is not even a little world and character building. I was excited to get to see the camp design, or Poseidons Cabin, or Dionysos office and they didn't even show any of it properly. Yes, the Movies had quite a few faults but the designs where beautiful. And here... no one cared enough to show the amazing world that Camp Halfblood could be. It's just sad.  The actors are pretty good and if they could have gotten a bit more time to explore the Characters Background it would have been awesome. But the first two episode were a race against time and I really wasn't satisfied.","6","21 December 2023"
"So far so good.","I watched the first two episodes, and i have to say i didnt have too much expectations from the show but its actually suprised me. They changed how to plot goes from the book here and there but nothing of importance. The cgi was good overall,the camp felt like a real place and the casting was good for the most part. I have problems with Annabeth and Kheiron though, they dont really feel like their characters for me, but will see as the show goes and if they can grow into it as they get more screen time.  So i think if they stick to this quality until the end, then we might get a decent adaption and thats a thing we can be grateful in this time, especially from Disney.  Edit: Okay, the third episode was really bad, i dont know what happened but this was hard to watch. Annabeth was really annoying,the Medusa story line was really underwhelming,even the movie scene was so much better. Im still gonna watch the next episode but my hopes are down now.","6","21 December 2023"
"The best thing I have ever witnessed","Wowee this was amazing in every way. It was witty, fast-paced, and brilliantly done. I do not know how I can move on from what I have witnessed. It was casted absolutely perfectly and everyone involved killed it. Scobell nails Percy's character and every dynamic of his character feels natural and well thought out. You can see his bravery and vulnerability in a way that makes the story so wonderful. Jeffries steals every scene she is in and commands the screen as Annabeth Chase. Simhadri was so lovable on screen and absolutely perfect for the role. Every thing wonderful about the books became real and it was stellar. Tears were shed.","10","20 December 2023"
"Loved the movies but this show still hit differently","I appreciate it, looking forward for the continuation..not sure I loved all of it  As a huge fan of the book series and spin-offs, specially HOO, I was really looking forward for the show.. I got some things I would've loved for the movies before to have; but the show (atleast the first 3 episodes) also lacks what the movies did have - action. I understand it was targeting the PG/G rating, but man some of the cover ups like line changes, editing, and even CGI were so obvious, tho some were cleverly done (invisibility cap part)...I'd love to see more action when they grow up and got training in the next season, i guess they'll have to be clever with angles not to show SPG scenes and clever word play.  Anyways, I understand the casting choices despite the physical differences cause I do start to see the characters I've read in them. The camp was a bit different than what I've imagined, but its fine (liked the ones in the movies better). The acting was great some were just okay, the backdrop was amazing, the cinematography was okay, and the plot/scene was nicely done.  To be honest I was afraid the 8 episode was not gonna do the books justice, but judging from the 3 episode so far, they might actually pull it off. Obviously, not all book fave scenes are gonna make it, but they did try, and the way they did it was good.  I'm still looking forward for the next episodes so that's great...I mean, even if they make it bad, I'll still watch it cause it's PERCY JACKSON. I just wish it will improve in the next seasons, if not in the next episodes.","9","29 December 2023"
"SO GOOD","I AM SEEING THE BOOK IN FRONT OF ME,It's an incredible feeling, the actors are exactly the essence of the characters, the visuals and everything are impeccable! I just think that the 1st ep was a bit rushed and these cuts are very poorly done but everything is as I wanted ;D.  Many are talking about Annabeth's actress, but honestly this doesn't bother me at all, she acts well and has the essence of the character!, but I don't approve of the idea of modifying characters that already exist :(  But all in all I say that everything is very well put together, Walker delivers a lot as Percy, Mr D's actor I really liked, Sally is just as I imagined.","10","20 December 2023"
"Worth the wait","At last, a faithful version of the fantasy work that transported a whole generation. It's been a long wait, but apparently worth it.  The actors perfectly match the idea of literary characters, the images are pretty good, and in a small but significant detail, they're wearing the colony's orange t-shirts.  I'm 21 now, but I'm so happy to relive those magical moments, and to know that a new generation will be able to immerse themselves in Percy's magnificent adventure!  It's set to become the new fantasy saga for young and old alike, or so I hope!  Now all we can do is hope for adaptations of the other books within a reasonable timeframe.","9","20 December 2023"
"ABSOLUTELY AMAZING!!!","Being an avid fan of the Percy Jackson books since middle school, I have been closely following the development of the show and counting down the days until its release. Now that it's here, I can say without a doubt it does not disappoint!  Echoing what some other reviews have stated, the way each actor portrays their character is exceptional! You can just tell who is who based off their personality, no need to mention their name at all. One that really stood out to me was Luke Castellan and how Charlie Bushnell portrayed his character perfectly. Aside from obvious physical differences with the character in the book, he was exactly how I had imagined him in my head. Everything about his actions felt very natural, almost as if he was actually Luke and not portraying him.  This is not to say that the other actors did a bad job, but Charlie stood out the most to me, especially when I compare his portrayal with the Luke in the movies. The Luke in the movies was loud and in your face, and did not seem like the Luke I had known from the books. However, Charlie did an absolutely fantastic job tapping into Luke and, to reiterate what I said earlier, his portrayal of Luke was spot on!  With only two episodes out right now, I cannot wait to see where this goes and how each character grows and changes through the season! Watching this brings back so much nostalgia from when I was in middle school and it warms my heart to see this portrayed in a way that is true to the source material.","9","21 December 2023"
"BOOK ACCURATE","Perfect adaptation of the books already in love after 2 episodes.can't believe it has finally aired after waiting for so long after the failed films this is so nice and refreshing to see. Thank god Rick is on team with this one and walker was the perfect pick for Percy. This series has shown action and fun . Amazing ya series and can't wait to see how tge show continues to amaze me . Love Annabeth and Grover so I can't wait to see the trio in more action over the next few years so praying the show gets green lit for season 2-5 hear will be watching every episode over the coming weeks. IM IN LOVE.","10","21 December 2023"
"Absolute Perfection!","I feel so privileged to have had the opportunity of watching the two episode premiere of Percy Jackson and the Olympians tonight! This is the most faithful adaptation of a book series I have ever had the joy of viewing. Rick Riordan and Disney have a brilliant hit series on their hands with this one! The characters and the actors who portray them are absolutely superb. I can't imagine a better casting choice for any of these magnificent and nuanced roles! This series puts the original two movies to shame right from the beginning! I can't wait to see all five seasons that are planned of this series! If you haven't seen this yet, do yourself a favor and watch it immediately! You will not at all be disappointed!!!","10","21 December 2023"
"Loved it","It's important to remember that it's an adaption of the books and not an exact copy, so there are some minor changes as with all adaptions, the changes are very insignificant and don't change the plot once so ever. If you are expecting an exact copy don't watch it and especially don't watch it then give it a negative review because of that. Some of the negative reviews are just impatient people who are complaining about how a scene from the books isn't in it but how would they know if only 2 episodes out of an 8 episode series have been released so far, it's absolutely ridiculous The cast were perfect for their roles, the negative reviews about the cast are because Annabeth is black and people still can't get over it. I loved it overall and can't wait for the new episodes to be released.","10","23 December 2023"
"PER-FECT-TION","As always, I had my doubts about pretty much everything. But within the first 5 minutes of the first episode, all of those doubts were washed away. This show is EXACTLY how I imagined the books to look. The cabins, the activities, the apartment, it's insane. The monsters look how I imagined them too. Not to be one of those, but I did have doubts about the casting because I hook onto the descriptions of a character in the book so I wanted blonde Annabeth and dark hair green eyes Percy, but OMG. The casting is PERFECTION. I can already feel the tension between Luke and Percy from when Percy gets claimed. Percabeth is giving so much chemistry it's insane. Grover is being given so much more depth and I honestly like him more now. Walker portrays Percy perfectly, the one scene where he was flossing was just such a Percy Jackson thing to do, and his reactions to everything are so Percy. Leah is so good with Annabeth, to the point where after her first scene I was hooked. She gives off Annabeth, in her voice, her lines, her expressions, it's so perfect. I'm going to wrap it up, but this show needs 5 seasons and a heroes of Olympus series. When I was 10 and reading the Percy Jackson books, this is exactly how I would have wanted them portrayed on the big screen.","10","21 December 2023"
"Worthy of the gods","As a fan of the books, I was so pleasantly surprised. Fast paced, funny, with wonderful actors, great special effects, and so faithful to the books.  Walker is a brilliant Percy who guides the action with a fresh perspective, while teaching us about the new world he's entering and the discoveries he's making along the way.  Leah is the perfect Annabeth, almost as if she was plucked from the book: she has a gravitas of a kid who had to grow up fast and this glow in her eyes of someone who's already calculating her next step. A true daughter of Athena.  Aryan as Grover is the comic relief every series needs. His comedic timing is impeccable and he's also superb in his most dramatic moments.  I'm so excited to see the start of the next big thing.","10","21 December 2023"
"The characters are butchered.","They are very closely following the book in details, but use this to cover their changing the characters to remove their strengths. The took Percy's troublemaker flair, made Grover a sniveling coward, Sally is butch now, and Gabe is the wrong sort of pathetic in service to the change for sally. I don't like these new versions of the characters, and I'm not interested in seeing more of them the way I want to see more reading the books. This is another show made to push world view over making a good story. I give this a minimum rating not because it lacks the craftsmanship but because it is a betrayal of it's self. I would more highly rate the other Percy Jackson movies, because while they are not effective adaptations, they are not willfully turning their back on everything the Percy Jackson story mean. I expect this show will be popular, because it is showing people what they want to see, in a way that will be smooth and easy for their pallet. But I suspect anyone who does or would really like the story of the books will feel gross in a matter of minutes.","1","28 December 2023"
"AHHHHHHHH GUYS I NEED IT RENEWED LIKE TOMORROW","Honestly, all I have to say is what hooked me in within the first 10 seconds was purely just the whole dialogue from the first page of the book as a book reader I loved it. I think it was perfect. I mean, I feel like there's something that they can work on going through the show, but those first two episodes hit the point that it needed , and personally kind of gave certain characters, a newer light since the movie adaptation but honestly, for instance, Percy's mom, Sally, I feel like the movie really put her in a submissive, kind of context, and when you learn more about her throughout the books, she's not that kind of person even to protect Percy. She still stood her own ground, and I feel like in the movie they made her like a weaker and didn't really show her significance to the story of them just being his mom and not like her as an individual which I understand it's Percy story, but I the end of the day she's a key factor to his story and need her own kind of play out, and I personally feel like in the first episode. It really showed that she has her own mind because the way she stood up to herself and the way he was talking to her just show that that's nothing like the movie adaptation but I loved it, and I think the show can really go on and tell the story properly.","9","21 December 2023"
"Great Series So Far","Percy Jackson and the Olympians is an amazing series so far. My favorite episode of Season 1, and ever, is Episode 3. I go on Disney+ a lot, so like about 4 months ago, there was info that this series would be coming out soon. I didn't think that the series would be as good as it actually is, and I wasn't even planning to watch it. Well, I was wrong. This series has gone of to a strong start so far. I'll re-review this series again when Season 1 is done, so this isn't my final review. Anyway, this series has a lot of action so far and it is between one of the better book apadtions. The series has great actors so far and it also has a good amount of heart. I would strongly recommend this series if you like fantasy and or action. In all, I give this series so far a 8.4 out of 10.","8","27 December 2023"
"As one obsessed with the books, this show has, thus fair, nailed it","I have spent a LONG time, almost half my life, reading Riordan novels. I'm 26 now I read the entire of the original series, all of heroes of Olympus, the Kane Chronicles and the Magnus bane series. This show, with the exclusion of the Dodds moment being VERY sparse and without explanation, has done the impossible. It's captured the essence of the series that didn't make me feel so alone, and it's redeemed the idea that this series can be brought to life.  As someone who grew up with the mental difficulties portrayed in the show (ADHD and Dyslexia), it wasn't until I found this series at 13 that I found my still thriving love of reading. Seeing this show brought to life in a way that respects the source material is nostalgic, heartwarming, and brought a smile to my face like I haven't had in a long while.  Time will tell if this wonderful adaptation continues to provide, and we have to remember not everything will be perfect, especially in season one when everyone at the production company Is waiting for their number report on how well it's doing. But to my fellow demigods, magicians, and anyone else who just wants to see this story carry on, I say we support the story we love. Forget the casting, forget our preconceived notions that looks come first. These kids, Rick and the crew working with him, deserve a chance to make us laugh, cry, and cheer with them.","10","20 December 2023"
"Percy Jackson renaissance","Finally it's here, the acting is great, the characters are faithful to the book and feel realistic, the visuals are stunning, the camp is looking amazing, the foreshadowing is top notch, the action scenes are really good?! So far (only two eps) it's worth watching. Minor setbacks like the editing or the underwhelming music scores that can easily be improved on. And smelly Gabe is definitely too nice for now! Oh and, again. Major props to the main cast, they're like Rick said: the chosen ones!  Ignore the looks, embrace the diversity and inclusion when it's done right and give the series a chance, so you can say you were there at the beginning.","9","20 December 2023"
"AMAZING","There's only three episode's out and yet these beautifully talented actors have proven how meant for their roles they are. EPISODE THREE WAS SOOOOO OMG !! I love what they did with medusas story and with how they brought the trip even closer together towards the end after all of that arguing throughout the episode (they were stressing poor grover out) leah is an amazing annabeth, walker is an amazing percy, and aryan is an amazing grover like he was so meant for grover i luv grover so much. I hope this show gets its five seasons so bad ITS AMAZING. Im so excited for the rest of the episodes these kids are super talented and they deserve so much love and support. Hating on them because of their appearance is ridiculous and if you're saying it isn't true to the book you must've not read it. The way they are going about this story is amazing especially with the author being heavily involved in it i just know they will continue to amaze us more and more im so proud of this show and im so proud of these kids. I will support them always they WILL get their five seasons.","10","28 December 2023"
"PJO SERIES IS SO FREAKIN' GOOD","I have just finished reading the first book of pjo, and as far as i remembered this adaptation is so freakin' good i have no comments, swear especially their acting is on point. I am rooting for more episodes with this series and I hope Disney will renew all the series of pjo because I am waiting for Nico. I'm so proud to those cast of these show, I'm so glad that some lines in the book are still there. Thank you!! 10/10. Percyyyy Jacksooooon!!!! I likeee Luke Castellan too!! Of course I like all the cast. Hoping for more seasons!!! I'm excited for the other cast of course especially- just kiddinggg!!","10","28 December 2023"
"this is how you do adaptations","We deserve a second season!!! Im already obsessed with them, the cast is perfect, everything is perfect, there are some scenes and things that are different from the books but i love it, and if the author is doing that well that means it's canon now.  The first episode was so cool, when i hear ""look, i didn't want to be a half blood"" i was already kicking my feet. Until now my favorite is the third episode, i feel like it really demonstrates that leah walker and aryan are the perfect cast, like i already saw them as perfect but in that episode i was like yeah they really are them, when i reread the books i just see them and only them. I love their acting and how they portray the characters, their historiesand everything. I'm waiting for the 5 season already.  Pd: leah, walker and aryan are soooo perfect for the roles, rick did a really good job about that.","10","29 December 2023"
"A brilliant adaptation","People who expect a page for page and line for line adaptation are probably gonna be disappointed. But this would make for a terrible TV Show. What makes this adaptation so fantastic is that ist captures the essence, atmosphere, issues, lessons and especially and most importantly the feeling of the books.  Every single one of the more important changes only enhance the story and feel completely natural. This is what the movies did wrong. The show simply elevates the story and fleshes it out. The characters feel more 3 dimensional than even in the book. It is a great translation to the screen. You can cleraly feel the involvement of the author and the love of the cast and crew for the source material.  The show does a great job of taking you along for the ride. You experience and discover this world alongside Percy and it gets you really invested in his journey. All the actors are perfectly cast and do a phenomenal job of portraying their character.  It doesn't matter whether you are a lifelong fan or a newcomer. This is also a fantastic show to watch together with your family, even if the target audience is primarliy kids.","10","22 December 2023"
"Captivating, Interesting, In-depth!","I will keep this short, because I'm sure you're reading through many reviews already: this adaptation has already captured my heart! From the beginning scenes, to the very last. I can see a storm brewing in Percy Jackson's (Walker Scobell) eyes. If not for its accurate age, setting, and overall depiction, the chemistry between both Percy and Annabeth Chase (Leah Jeffries) is just as written in the books.  I grew up with these books, having read them time and time again, in fact, I've read all of Rick Riordan's books, and if I know nothing else, I know that Rick is a reliable story teller. He created this universe, he created these characters. The relationship between Annabeth and Percy is based on his own personal relationship with his wife! I find it interesting that a lot of reviewers are critiquing him on who he chose, who best FITS the character he created. That's ridiculous!  This show is phenomenal, truly a masterpiece, and I cannot wait to indulge in the rest of the series. Give us a season two!","10","20 December 2023"
"Really good!","I know it's not 100% book accurate but camp half blood looks exactly how I imagined, Percy is exactly how I imagined him ( him killing the Minotaur the way he does in the books is awesome ). Pimento as Dionysus was an amazing idea. The shows great can't wait to watch another episode. From the start I was hooked in and interested and I'm really excited to see the rest of season one and the future seasons to come. I think the casting was great actually, everyone seems like their book characters and I liked the addition of the cloven council knowing what happened to Percy's mom. The toilet scene being brought to live action was great.","10","20 December 2023"
"THIS is what we've been waiting for...","This is exactly what we've been looking for. The show is faithful to the source material while also elevating and refreshing the story for the modern day. If you're looking for a line by line book to screen adaption it'd get boring pretty fast. But if you're looking for the story and characters we know and love with some new elements that create a fresh new adventure then this it !!! The movies so deeply missed the mark so for true fans, we can tell this adaptation was made with love and care. And the actor's chemistry tie it all together. So excited to see future seasons. We have a hit show on our hands !!!","10","28 December 2023"
"Fun and way better than the movies. Minor issues","Despite the small differences to the book, I can enjoy this for being way more book accurate. Walker talks like how I imagined percy in the books! However I can not get over the pacing and the constant use of cut to black. Wish the show would slow down a little and let the characters breath a bit. And it always seems to cut to black like theres a commercial break that never happens. It makes the show feel like a bunch of trailers rather than a smooth cohesive episode. Its also odd that grover is the one to constantly expo dump. I figured annabeth would be the main one to give exposition since shes the wise girl.","8","27 December 2023"
"good vfx with a 2000's young adult fantasy writing.","(I'm not a native speaker nor English major so hope you guys understand) First of all, the budget shows. You can see they spent some time on set designs, costumes, make ups, vfx, sfx, and soundtracks. Actors are not bad for a kid show (not stranger things level tho). But...  I like the fact that Riordan is totally involved in script and making of this tv series, its hard to find an adaptation that allows author to be this close to the project, its all nice and good but the writing is just meh. Its really cheesy, and i know that this is an adaptation of a cheesy YA book but i wish they changed some of the lines to a bit more realistic ones. They feel forced, the way actors act while talking feels a bit forced and it just feels like a old man's depiction of children drama. Yeah thats all for now i guess.","7","23 December 2023"
"Genius","I absolutely freaking loved it. It was exciting to watch, it was for sure a dopamine rush the whole entire time. The actors were perfectly casted for their roles and nobody could've played the characters better than the actors did, nobody! It was true to the books with some minor changes that only made it better. It had that magical feel to it and that's all I could've asked for. I hope it gets the recognition it deserves. You can tell how much hard work was put into this show and can only image how long it must of took to make this masterpiece. Honestly the only logical rating is a 10 out of 10, that's the only rating that makes sense.","10","21 December 2023"
"GOOD","It's so good, close to the source material. Percy is just perfectly cast.  I love Grover here, more than the books even.  Luke has been perfectly cast as well, same as D.  It takes it time, but isn't slow paced, episode 2 and 3 were magnificent.  Anyway, for me it's one of the better shows out there, definitely in its genre, with kid actors, etc. The only show for me to be on this level is 'Stranger Things', but that's it.  Anyway, I can't wait to see what else the show has in store. Episode's 4-5-6-7 and 8 are set to great, probably even better, as every last episode has been better than the previous.","10","28 December 2023"
"Loving this so far and it's FAITHFUL!","I dunno what some of the reviewers on here are watching, they must be watching a different show to me. Walker Scobell IS Percy Jackson. The actress playing Annabeth has captured her personality perfectly the lad playing Grover has done the same. Like many young actors they aren't perfect in their abilities but neither were the Harry Potter trio in the early films.  Firstly some Percy fans need to chill out with some events from the book being changed or left out, this happens in every adaption of a book to an screen and sometimes it's direct from the author. Also we'd be on season one for years if we had every single instance from the book put in. It is a faithful adaption in every way so far, yes there are some very slight alterations but all the main events are there.  Finally, it's just a good show, I've got friends I encouraged to watch this messaging me saying how good it is and now want to loan the books off me.  I really hope this is the beginning of something special for the PJO universe.","10","30 December 2023"
"Better than my wildest dreams","I've been waiting for this show for 10 years, and it's finally here. I'm so so so happy, the casting was done perfectly as was the adaptation. Walker is the perfect Percy: funny, charismatic, brooding at times. Aryan brings to grover the sensibility that this character so desperately needs, as well as the humor that is a must. There's not enough words to praise Leah as Annabeth. Is as if I opened the book, shook it around and she dropped right out of the pages. She IS Annabeth, and anyone who dares say the opposite for whatever reason is either blind or crazy. I've always said that the The Hunger Games Series was the most faithful book to movie adaptation I had ever seen, but by the end of season 1 of Percy, I might change my mind.","10","20 December 2023"
"Review","I tried not to get my hopes up for this, thinking they were going to be dashed, but after seeing the first episodes I am incredibly surprised. This show is amazing. It's book accurate, but adapted so that it fits cleanly into a new medium. It has a great balance of humor, action, and emotional scenes, and any book fans will love this show from the first second onwards. The score works well to tie everything together, and the characters are impeccably casted. Every actor, small and big embodies their role and gives dimension to the character, bringing justice to the book. The last adaptation we got was terrible, but this one is the absolute opposite. Watch it.","10","21 December 2023"
"Yes!","Just. Yes!  Super happy with the adaptation and the actors are truly brilliant, I can't wait to see their careers in the future if they're this great already!  The first two episdose, tears of joy the entire way through. Though there were some aspects of the book that I really wished to hear (like the Donkey Legs moment;D - not a spoiler because the scene was in the trailer-) I'm really happy with all the amazing ways the story was adapted to be a series. You get to know everything you need to know, when you need to, and in brilliant ways! The pacing is fantastic, the CGI is brilliant and I honestly cannot wait to watch the next episodes, and hopefully the next seasons too🤞🤞🤞  Well done Mr Riordan! Well done!💙","8","21 December 2023"
"A really great show and a faithful adaptation!","As a long-time fan of the books, I've been super excited about the release of this show for a very long time, and I'm glad to say it did not disappoint. Everything from the technical, practical side of things (CGI looks great, directing is really good, lighting, sets, and colour grading all look beautiful) to the casting and acting and overall feel of the show is just perfect. They captured the humour of the characters but also their depths and their emotions. Especially after seeing the third episode, Leah is the best Annabeth, Walker is the best Percy, and Aryan brings a fresh outlook to Grover that I am obsessed with. On top of all that, they have great chemistry as the main trio. I can't wait to see the rest of the first season!! They are killing it so far.","10","28 December 2023"
"The fandom is the issue","This is an amazing show. The actors truly embody the characters. Even the stuff they had to change (because let's remember here: they HAD to change things. It is IMPOSSIBLE to create a perfect movie/show based on a book. And even if you could people would complain about the pacing) stays in character. At certain points me and my sister were talking about how some of the changes were somehow MORE in character which is the important part about including the author in the adaptation.  The only real issue with this show is that the fandom is too hard to impress. They don't want to look at anything positive. If it's not an exact match to what they personally imagined it's awful. They hate that Percy is blond. They hate that Annabeth is brunette. They hate that Annabeth is black. The pacing is too slow. The pacing is too fast. Percy is too bland. Percy is too snarky. Hell I saw someone genuinely upset because Nancy threw cheese at Grover rather than a peanut butter sandwich. (This is all in the trailer so I'm not counting it as a spoiler)  TLDR: If I could stay in a vacuum away from the fandom this would be a perfect show.","10","28 December 2023"
"What we needed","I am a huge fan of the books. I've watch the movies as a kid wishing they could be anything like the books I've read and loved so much. Now finally, after years of waiting, me and all the fans who loved the books have an adaptation worthy of the books. It's exactly like I've imagined the scene with small bonus scene I didn't know I needed. Thank you so much for that. Walker as Percy is simply magnificent. He has the same energy, the same sarcasm and even his expression are how imagined him. He simply is Percy Jackson.  We can't talk about this show without talking about freaking Sally Jackson! WOW! The casting was perfect and how she acts is juste simply magnificent. She is the powerful yet calm and funny mother that we all needed. Everyone's casting is simply perfect. A really big special mention to Aryan who plays Grover, who plays Grover the best way possible. He feels directly out of the book for me and it couldn't make me happier.  If you loved the books, please watch this show. It's slowly healing my inner child...","8","22 December 2023"
"Loved it","First if all I am a devoted pjo fan and I have been looking forward for it far a long time and now that it came out I will write my honest opiniop I think it was really good because it was fairly like the book and the things that weren't make sense very much like the fact that Percy only got his pen in the start but I liked also that Ms dodss attack was in the open because it showed the power of the mist and real liked it and also I loved the second episode more because it was intreducing a loy of new and old beloved characters and it was very satisfying to see, it was also much more action. Thank you for reading.","10","24 December 2023"
"The best thing since the books","One of the best adaptations I've seen in awhile. The way you can feel Uncle Rick's presence in the show is awesome. As well as the passion the actors and actresses put in to make the show all the more fascinating and true to the original plot was astonishing.  The storyline was followed beautifully and the foreshadowing with Easter eggs is definitely something to watch out for.  I cannot wait for the next episodes to see what they do with the overall plot and how they manage to do some of the stunts that seemed impossible on paper let alone in real life.  If you enjoy Greek mythology or just a good tv show to watch with family or friends this is definitely a show that you can get hooked on!","10","22 December 2023"
"Sadly Underwhelming and Unfaithful","Several changes to the character's personalities and story unfortunately make what could have been a faithful adaptation of the books, another poor attempt. Pacing is off and dialogue for the characters somehow manage to be uninteresting despite its source material. It seems as though Rick Riordan is using this as a chance to change things he didn't like in the books instead of remaining true to the books. Acting is cringeworthy with a few exceptions and the lack of budget is apparent in almost every scene (i.e. Medusa's head).  Take the away the source material and the loyal fan base and it's just a meh show that will shock me if it makes it 5 seasons.","2","29 December 2023"
"AMAZING & FAITHFUL TO THE BOOKS!","I've always loved the books, I've read them many many times first starting when I was in the seventh grade. I remember watching the Percy Jackson movie for the first time in school, and being so disappointed- because it was so unrelated to the book. This series, however, is the exact opposite. Obviously not everything that is in the books can be included, but the writers are doing a great job of keeping the story as accurate as possible, and even making it flow even better than it did in the books!! The actors, specifically the main ones, are so phenomenal at what they do!! Their chemistry is top tier, and we're only three episodes in! You can tell these young actors really took time and put hard work into this project. The filmography is beautifully done, AND THE SOUNDTRACK? PERFECT. Specifically the track 'Camp Half-Blood'! It perfectly captures the wonder and magic of the gods and mythology, while also including the mystery and danger that also lies within. I can't wait to see the final results when all of the episodes are out, and I'm praying we get more seasons, because young kids deserve to see themselves represented in such a well done series!","10","29 December 2023"
"Love it!","I read the books when I was a kid and when those movies came out I was so disappointed. They did the books so dirty. But this show, is so so good it's already following the book more than the movies did. And even tho some of the characters don't look exactly the same as books I'm honestly okay with that because they got the personalities spot on. And I'm okay with them adding some different scenes as well. It's so far really good and I'm enjoying it a lot. I can't wait for more episodes to come out. I'm so glad they decided to make this because I've always wanted these books to come to life and they finally did it right.","10","20 December 2023"
